sha,ccg_code,year,month,registered_patients,diabetes_patients,total_cases,cases_per_100k
E40000001,Y54,2015,12,"137,596",902,"137,596",902
E39000001,Q44,2015,12,"16,929","1,372","16,929","1,372"
E38000056,01C,2015,12,605,308,605,308
E38000151,01R,2015,12,"1,613",908,"1,613",908
E38000189,02D,2015,12,907,889,907,889
E38000194,02E,2015,12,"1,297",628,"1,297",628
E38000196,02F,2015,12,"3,221","1,399","3,221","1,399"
E38000208,12F,2015,12,"9,286","2,894","9,286","2,894"
E39000002,Q45,2015,12,"5,675",479,"5,675",479
E38000042,00C,2015,12,348,330,348,330
E38000047,00D,2015,12,"1,296",474,"1,296",474
E38000075,00K,2015,12,"1,488",519,"1,488",519
E38000116,00J,2015,12,"1,257",514,"1,257",514
E38000162,00M,2015,12,"1,286",469,"1,286",469
E39000003,Q46,2015,12,"24,695",893,"24,695",893
E38000016,00T,2015,12,"1,803",643,"1,803",643
E38000024,00V,2015,12,"1,122",598,"1,122",598
E38000032,00W,2015,12,"1,550",839,"1,550",839
E38000080,01D,2015,12,"1,566",735,"1,566",735
E38000123,01M,2015,12,"1,183",680,"1,183",680
E38000135,00Y,2015,12,"1,602",700,"1,602",700
E38000143,01G,2015,12,"4,497","1,858","4,497","1,858"
E38000158,01N,2015,12,"1,359",841,"1,359",841
E38000174,01W,2015,12,"2,340",816,"2,340",816
E38000182,01Y,2015,12,"2,483",978,"2,483",978
E38000187,02A,2015,12,"1,490",641,"1,490",641
E38000205,02H,2015,12,"3,700","1,153","3,700","1,153"
E39000004,Q47,2015,12,"13,651",927,"13,651",927
E38000014,00Q,2015,12,"1,661","1,132","1,661","1,132"
E38000015,00R,2015,12,745,530,745,530
E38000034,00X,2015,12,"1,835","1,075","1,835","1,075"
E38000050,01A,2015,12,"3,859","1,034","3,859","1,034"
E38000060,02M,2015,12,704,422,704,422
E38000065,01E,2015,12,"1,993",987,"1,993",987
E38000093,01K,2015,12,"1,332",831,"1,332",831
E38000200,02G,2015,12,"1,522","1,360","1,522","1,360"
E39000005,Q48,2015,12,"12,018","1,004","12,018","1,004"
E38000068,01F,2015,12,"1,351","1,069","1,351","1,069"
E38000091,01J,2015,12,"1,882","1,285","1,882","1,285"
E38000101,99A,2015,12,"3,765",796,"3,765",796
E38000161,01T,2015,12,"1,509",951,"1,509",951
E38000170,01V,2015,12,"1,401","1,220","1,401","1,220"
E38000172,01X,2015,12,"2,110","1,191","2,110","1,191"
E39000006,Q49,2015,12,"17,155",885,"17,155",885
E38000041,01H,2015,12,"3,416",678,"3,416",678
E38000061,00F,2015,12,"1,450",723,"1,450",723
E38000111,00G,2015,12,"1,016",697,"1,016",697
E38000112,00H,2015,12,"1,271",882,"1,271",882
E38000127,99C,2015,12,"2,926","1,443","2,926","1,443"
E38000130,00L,2015,12,"4,456","1,410","4,456","1,410"
E38000163,00N,2015,12,738,496,738,496
E38000176,00P,2015,12,"1,882",680,"1,882",680
E39000007,Q50,2015,12,"11,466",685,"11,466",685
E38000052,02Y,2015,12,"1,557",493,"1,557",493
E38000069,03D,2015,12,446,293,446,293
E38000073,03E,2015,12,"1,245",792,"1,245",792
E38000085,03F,2015,12,"1,277",496,"1,277",496
E38000119,03H,2015,12,"2,058","1,288","2,058","1,288"
E38000122,03K,2015,12,"1,033",610,"1,033",610
E38000145,03M,2015,12,695,630,695,630
E38000188,03Q,2015,12,"3,155",896,"3,155",896
E39000008,Q51,2015,12,"8,503",575,"8,503",575
E38000006,02P,2015,12,881,370,881,370
E38000008,02Q,2015,12,460,403,460,403
E38000044,02X,2015,12,"1,244",409,"1,244",409
E38000141,03L,2015,12,"2,109",811,"2,109",811
E38000146,03N,2015,12,"3,809",676,"3,809",676
E39000009,Q52,2015,12,"27,504","1,189","27,504","1,189"
E38000001,02N,2015,12,"3,486","2,198","3,486","2,198"
E38000018,02W,2015,12,"1,369","1,646","1,369","1,646"
E38000019,02R,2015,12,"6,205","1,847","6,205","1,847"
E38000025,02T,2015,12,"1,411",680,"1,411",680
E38000064,03A,2015,12,"1,514",627,"1,514",627
E38000094,02V,2015,12,"1,494",747,"1,494",747
E38000095,03G,2015,12,"2,417",986,"2,417",986
E38000096,03C,2015,12,"2,542",791,"2,542",791
E38000121,03J,2015,12,"2,060","1,087","2,060","1,087"
E38000190,03R,2015,12,"5,006","1,511","5,006","1,511"
E40000002,Y55,2015,12,"139,267",845,"139,267",845
E39000010,Q53,2015,12,"21,613","1,309","21,613","1,309"
E38000038,05A,2015,12,"7,110","1,616","7,110","1,616"
E38000078,05F,2015,12,845,451,845,451
E38000139,05J,2015,12,"3,513","1,952","3,513","1,952"
E38000164,05R,2015,12,"1,773",681,"1,773",681
E38000166,05T,2015,12,"4,279","1,443","4,279","1,443"
E38000195,05H,2015,12,"2,469","1,309","2,469","1,309"
E38000211,06D,2015,12,"1,624","1,641","1,624","1,641"
E39000011,Q54,2015,12,"21,786",882,"21,786",882
E38000012,13P,2015,12,"5,945",812,"5,945",812
E38000013,04X,2015,12,"2,258","1,118","2,258","1,118"
E38000046,05C,2015,12,"4,739","1,501","4,739","1,501"
E38000144,05L,2015,12,"3,658",755,"3,658",755
E38000149,05P,2015,12,896,427,896,427
E38000191,05Y,2015,12,"1,707",623,"1,707",623
E38000210,06A,2015,12,"2,583","1,021","2,583","1,021"
E39000012,Q55,2015,12,"20,196","1,009","20,196","1,009"
E38000058,03X,2015,12,"1,078","1,126","1,078","1,126"
E38000071,03Y,2015,12,"1,227","1,117","1,227","1,117"
E38000103,04E,2015,12,"1,706",875,"1,706",875
E38000109,04H,2015,12,"1,032",875,"1,032",875
E38000115,04J,2015,12,"2,380",873,"2,380",873
E38000132,04K,2015,12,"3,782","1,203","3,782","1,203"
E38000133,04L,2015,12,"1,844","1,239","1,844","1,239"
E38000134,04M,2015,12,"1,500","1,342","1,500","1,342"
E38000142,04N,2015,12,"1,050",924,"1,050",924
E38000169,04R,2015,12,"4,597",882,"4,597",882
E39000013,Q56,2015,12,"19,007",766,"19,007",766
E38000026,06H,2015,12,"5,410",625,"5,410",625
E38000063,06M,2015,12,"1,521",710,"1,521",710
E38000086,06L,2015,12,"4,249","1,068","4,249","1,068"
E38000124,06V,2015,12,863,509,863,509
E38000131,06W,2015,12,893,454,893,454
E38000159,06Y,2015,12,"1,362",567,"1,362",567
E38000203,07J,2015,12,"2,353","1,360","2,353","1,360"
E38000204,07K,2015,12,"2,356","1,048","2,356","1,048"
E39000014,Q57,2015,12,"11,717",661,"11,717",661
E38000007,99E,2015,12,"2,608","1,018","2,608","1,018"
E38000030,99F,2015,12,596,343,596,343
E38000106,06Q,2015,12,"1,900",494,"1,900",494
E38000117,06T,2015,12,"1,914",597,"1,914",597
E38000168,99G,2015,12,578,325,578,325
E38000185,07G,2015,12,"2,174","1,332","2,174","1,332"
E38000197,07H,2015,12,"1,947",655,"1,947",655
E39000015,Q58,2015,12,"24,329",887,"24,329",887
E38000010,06F,2015,12,"3,238",748,"3,238",748
E38000037,03V,2015,12,533,815,533,815
E38000049,06K,2015,12,"2,547",461,"2,547",461
E38000079,06N,2015,12,"9,075","1,557","9,075","1,557"
E38000102,06P,2015,12,"3,734","1,770","3,734","1,770"
E38000107,04F,2015,12,"1,692",638,"1,692",638
E38000108,04G,2015,12,"3,510",555,"3,510",555
E39000016,Q59,2015,12,"9,806",552,"9,806",552
E38000051,03W,2015,12,"1,130",349,"1,130",349
E38000097,04C,2015,12,"1,188",352,"1,188",352
E38000099,03T,2015,12,"2,337","1,011","2,337","1,011"
E38000100,04D,2015,12,"1,817",784,"1,817",784
E38000157,99D,2015,12,934,647,934,647
E38000165,04Q,2015,12,823,663,823,663
E38000201,04V,2015,12,"1,577",413,"1,577",413
E39000017,Q60,2015,12,"10,813",680,"10,813",680
E38000028,04Y,2015,12,948,705,948,705
E38000053,05D,2015,12,670,535,670,535
E38000126,05G,2015,12,"1,336",620,"1,336",620
E38000147,05N,2015,12,"2,047",660,"2,047",660
E38000153,05Q,2015,12,"1,355",603,"1,355",603
E38000173,05V,2015,12,938,617,938,617
E38000175,05W,2015,12,"2,008",775,"2,008",775
E38000183,05X,2015,12,"1,511",892,"1,511",892
E40000003,Y56,2015,12,"44,893",526,"44,893",526
E39000018,Q71,2015,12,"44,893",526,"44,893",526
E38000004,07L,2015,12,"1,226",618,"1,226",618
E38000005,07M,2015,12,"1,626",434,"1,626",434
E38000011,07N,2015,12,"1,327",553,"1,327",553
E38000020,07P,2015,12,"3,015",940,"3,015",940
E38000023,07Q,2015,12,953,297,953,297
E38000027,07R,2015,12,"1,097",467,"1,097",467
E38000031,09A,2015,12,610,364,610,364
E38000035,07T,2015,12,"1,923",709,"1,923",709
E38000040,07V,2015,12,"1,345",358,"1,345",358
E38000048,07W,2015,12,"2,316",677,"2,316",677
E38000057,07X,2015,12,"2,547",785,"2,547",785
E38000066,08A,2015,12,"1,287",479,"1,287",479
E38000070,08C,2015,12,566,317,566,317
E38000072,08D,2015,12,"1,650",617,"1,650",617
E38000074,08E,2015,12,"2,308",938,"2,308",938
E38000077,08F,2015,12,"1,451",590,"1,451",590
E38000082,08G,2015,12,"2,428",830,"2,428",830
E38000084,07Y,2015,12,"1,080",407,"1,080",407
E38000088,08H,2015,12,"1,667",754,"1,667",754
E38000090,08J,2015,12,428,252,428,252
E38000092,08K,2015,12,"1,513",475,"1,513",475
E38000098,08L,2015,12,964,330,964,330
E38000105,08R,2015,12,700,344,700,344
E38000113,08M,2015,12,"1,671",515,"1,671",515
E38000138,08N,2015,12,"1,364",465,"1,364",465
E38000140,08P,2015,12,460,238,460,238
E38000171,08Q,2015,12,"1,651",546,"1,651",546
E38000179,08T,2015,12,944,476,944,476
E38000186,08V,2015,12,"1,102",388,"1,102",388
E38000192,08W,2015,12,"1,999",746,"1,999",746
E38000193,08X,2015,12,910,292,910,292
E38000202,08Y,2015,12,765,344,765,344
E40000004,Y57,2015,12,"118,393",844,"118,393",844
E39000019,Q64,2015,12,"9,862",659,"9,862",659
E38000009,11E,2015,12,"1,275",700,"1,275",700
E38000062,11M,2015,12,"1,696",277,"1,696",277
E38000181,12D,2015,12,"2,022",915,"2,022",915
E38000206,99N,2015,12,"4,869","1,008","4,869","1,008"
E39000020,Q65,2015,12,"14,595",997,"14,595",997
E38000022,11H,2015,12,"5,275","1,192","5,275","1,192"
E38000125,11T,2015,12,"2,047",983,"2,047",983
E38000150,11X,2015,12,"4,622",853,"4,622",853
E38000155,12A,2015,12,"2,651",976,"2,651",976
E39000021,Q66,2015,12,"25,409","1,488","25,409","1,488"
E38000089,11N,2015,12,"11,521","2,104","11,521","2,104"
E38000129,99P,2015,12,"9,446","1,070","9,446","1,070"
E38000152,99Q,2015,12,"4,442","1,603","4,442","1,603"
E39000022,Q67,2015,12,"12,439",697,"12,439",697
E38000002,09C,2015,12,445,361,445,361
E38000029,09E,2015,12,845,412,845,412
E38000043,09J,2015,12,"2,557","1,002","2,557","1,002"
E38000104,09W,2015,12,"3,318","1,211","3,318","1,211"
E38000156,10A,2015,12,837,409,837,409
E38000180,10D,2015,12,"1,461","1,315","1,461","1,315"
E38000184,10E,2015,12,416,301,416,301
E38000199,99J,2015,12,"2,560",542,"2,560",542
E39000023,Q68,2015,12,"16,884",613,"16,884",613
E38000021,09D,2015,12,"1,867",664,"1,867",664
E38000036,09G,2015,12,"5,622","1,163","5,622","1,163"
E38000039,09H,2015,12,651,592,651,592
E38000054,09L,2015,12,915,507,915,507
E38000055,09F,2015,12,892,480,892,480
E38000067,09N,2015,12,441,210,441,210
E38000076,09P,2015,12,"1,119",611,"1,119",611
E38000081,99K,2015,12,"1,174",688,"1,174",688
E38000083,09X,2015,12,"1,612",707,"1,612",707
E38000128,09Y,2015,12,"1,363",399,"1,363",399
E38000177,99H,2015,12,"1,087",379,"1,087",379
E38000178,10C,2015,12,141,149,141,149
E39000024,Q69,2015,12,"15,241",732,"15,241",732
E38000003,10Y,2015,12,"1,081",533,"1,081",533
E38000017,10G,2015,12,856,630,856,630
E38000033,10H,2015,12,"2,305",716,"2,305",716
E38000110,10M,2015,12,721,680,721,680
E38000114,10N,2015,12,877,874,877,874
E38000136,10Q,2015,12,"3,017",458,"3,017",458
E38000148,10T,2015,12,"2,524","1,746","2,524","1,746"
E38000160,10W,2015,12,"1,039",943,"1,039",943
E38000207,11C,2015,12,"1,709","1,209","1,709","1,209"
E38000209,11D,2015,12,"1,112",699,"1,112",699
E39000025,Q70,2015,12,"23,963",874,"23,963",874
E38000045,11J,2015,12,"8,298","1,092","8,298","1,092"
E38000059,10K,2015,12,"1,219",614,"1,219",614
E38000087,10L,2015,12,"1,641","1,180","1,641","1,180"
E38000118,99M,2015,12,366,175,366,175
E38000120,10J,2015,12,587,268,587,268
E38000137,10R,2015,12,"1,182",565,"1,182",565
E38000154,10V,2015,12,"1,213",575,"1,213",575
E38000167,10X,2015,12,"4,304","1,755","4,304","1,755"
E38000198,11A,2015,12,"5,153",934,"5,153",934