Date;Price
2016, 11;19.87
2016, 10;21.59
2016, 09;22.89
2016, 08;20.05
2016, 07;18.98
2016, 06;20.36
2016, 05;17.36
2016, 04;16.34
2016, 03;15.41
2016, 02;14.37
2016, 01;13.15
2015, 12;15.22
2015, 11;14.94
2015, 10;14.52
2015, 09;12.82
2015, 08;10.65
2015, 07;11.16
2015, 06;12.48
2015, 05;12.01
2015, 04;13.15
2015, 03;12.01
2015, 02;13.82
2015, 01;14.80
2014, 12;14.56
2014, 11;15.58
2014, 10;16.02
2014, 09;16.47
2014, 08;15.47
2014, 07;16.43
2014, 06;18.05
2014, 05;17.37
2014, 04;17.76
2014, 03;17.77
2014, 02;17.58
2014, 01;15.60
2013, 12;16.47
2013, 11;17.18
2013, 10;18.33
2013, 09;18.09
2013, 08;16.33
2013, 07;16.92
2013, 06;16.91
2013, 05;16.57
2013, 04;17.67
2013, 03;17.62
2013, 02;18.36
2013, 01;18.83
2012, 12;19.55
2012, 11;19.33
2012, 10;19.48
2012, 09;20.44
2012, 08;19.77
2012, 07;22.66
2012, 06;21.07
2012, 05;19.45
2012, 04;21.03
2012, 03;24.69
2012, 02;25.02
2012, 01;23.76
2011, 12;23.36
2011, 11;23.72
2011, 10;25.82
2011, 09;25.47
2011, 08;29.72
2011, 07;29.70
2011, 06;26.25
2011, 05;23.22
2011, 04;22.19
2011, 03;27.10
2011, 02;29.52
2011, 01;33.83
2010, 12;31.94
2010, 11;27.47
2010, 10;29.17
2010, 09;23.63
2010, 08;19.75
2010, 07;19.31
2010, 06;16.02
2010, 05;14.25
2010, 04;15.22
2010, 03;16.55
2010, 02;23.68