Date, Index
Nov 20, 2016;101.55
Nov 13, 2016;101.28
Nov 06, 2016;99.05
Oct 30, 2016;97.09
Oct 23, 2016;98.34
Oct 16, 2016;98.69
Oct 09, 2016;98.00
Oct 02, 2016;96.65
Sep 25, 2016;95.39
Sep 18, 2016;95.39
Sep 11, 2016;96.11
Sep 04, 2016;95.33
Aug 28, 2016;95.84
Aug 21, 2016;95.54
Aug 14, 2016;94.48
Aug 07, 2016;95.68
Jul 31, 2016;96.14
Jul 24, 2016;95.49
Jul 17, 2016;97.52
Jul 10, 2016;96.56
Jul 03, 2016;96.33
Jun 26, 2016;95.71
Jun 19, 2016;95.57
Jun 12, 2016;94.34
Jun 05, 2016;94.56
May 29, 2016;94.03
May 22, 2016;95.50
May 15, 2016;95.34
May 08, 2016;94.59
May 01, 2016;93.88
Apr 24, 2016;93.05
Apr 17, 2016;95.08
Apr 10, 2016;94.69
Apr 03, 2016;94.25
Mar 27, 2016;94.62
Mar 20, 2016;96.17
Mar 13, 2016;95.12
Mar 06, 2016;96.17
Feb 28, 2016;97.34
Feb 21, 2016;98.17
Feb 14, 2016;96.60
Feb 07, 2016;95.98
Jan 31, 2016;97.05
Jan 24, 2016;99.65
Jan 17, 2016;99.65
Jan 10, 2016;99.02
Jan 03, 2016;98.60
Dec 27, 2015;98.75
Dec 20, 2015;98.02
Dec 13, 2015;98.73
Dec 06, 2015;97.55
Nov 29, 2015;98.34
Nov 22, 2015;100.07
Nov 15, 2015;99.62
Nov 08, 2015;99.10
Nov 01, 2015;99.26
Oct 25, 2015;97.02
Oct 18, 2015;97.24
Oct 11, 2015;94.59
Oct 04, 2015;94.88
Sep 27, 2015;95.97
Sep 20, 2015;96.43
Sep 13, 2015;95.00
Sep 06, 2015;95.19
Aug 30, 2015;96.24
Aug 23, 2015;96.14
Aug 16, 2015;95.00
Aug 09, 2015;96.53
Aug 02, 2015;97.62
Jul 26, 2015;97.44
Jul 19, 2015;97.35
Jul 12, 2015;97.99
Jul 05, 2015;96.17
Jun 28, 2015;96.29
Jun 21, 2015;95.65
Jun 14, 2015;94.27
Jun 07, 2015;94.99
May 31, 2015;96.36
May 24, 2015;96.99
May 17, 2015;96.11
May 10, 2015;93.18
May 03, 2015;94.90
Apr 26, 2015;95.44
Apr 19, 2015;97.10
Apr 12, 2015;97.71
Apr 05, 2015;99.60
Mar 29, 2015;96.80
Mar 22, 2015;97.52
Mar 15, 2015;98.17
Mar 08, 2015;100.31
Mar 01, 2015;97.60
Feb 22, 2015;95.32
Feb 15, 2015;94.34
Feb 08, 2015;94.28
Feb 01, 2015;94.85
Jan 25, 2015;95.00
Jan 18, 2015;95.05
Jan 11, 2015;92.89
Jan 04, 2015;92.15
Dec 28, 2014;91.38
Dec 21, 2014;90.31
Dec 14, 2014;89.84
Dec 07, 2014;88.34
Nov 30, 2014;89.36
Nov 23, 2014;88.41
Nov 16, 2014;88.41
Nov 09, 2014;87.59
Nov 02, 2014;87.73
Oct 26, 2014;87.02
Oct 19, 2014;85.82
Oct 12, 2014;85.21
Oct 05, 2014;86.03
Sep 28, 2014;86.82
Sep 21, 2014;85.77
Sep 14, 2014;84.86
Sep 07, 2014;84.24
Aug 31, 2014;83.76
Aug 24, 2014;82.78
Aug 17, 2014;82.38
Aug 10, 2014;81.47
Aug 03, 2014;81.45
Jul 27, 2014;81.38
Jul 20, 2014;81.12
Jul 13, 2014;80.59
Jul 06, 2014;80.23
Jun 29, 2014;80.28
Jun 22, 2014;80.09
Jun 15, 2014;80.44
Jun 08, 2014;80.66
Jun 01, 2014;80.43
May 25, 2014;80.40
May 18, 2014;80.45
May 11, 2014;80.11
May 04, 2014;79.96
Apr 27, 2014;79.56
Apr 20, 2014;79.82
Apr 13, 2014;79.90
Apr 06, 2014;79.52
Mar 30, 2014;80.57
Mar 23, 2014;80.33
Mar 16, 2014;80.26
Mar 09, 2014;79.44
Mar 02, 2014;79.72
Feb 23, 2014;79.72
Feb 16, 2014;80.27
Feb 09, 2014;80.18
Feb 02, 2014;80.76
Jan 26, 2014;81.40
Jan 19, 2014;80.54
Jan 12, 2014;81.36
Jan 05, 2014;80.75
Dec 29, 2013;80.95
Dec 22, 2013;80.54
Dec 15, 2013;80.75
Dec 08, 2013;80.22
Dec 01, 2013;80.31
Nov 24, 2013;80.66
Nov 17, 2013;80.74
Nov 10, 2013;80.90
Nov 03, 2013;81.39
Oct 27, 2013;80.81
Oct 20, 2013;79.25
Oct 13, 2013;79.73
Oct 06, 2013;80.45
Sep 29, 2013;80.22
Sep 22, 2013;80.38
Sep 15, 2013;80.55
Sep 08, 2013;81.45
Sep 01, 2013;82.17
Aug 25, 2013;82.14
Aug 18, 2013;81.39
Aug 11, 2013;81.29
Aug 04, 2013;81.17
Jul 28, 2013;81.98
Jul 21, 2013;81.76
Jul 14, 2013;82.71
Jul 07, 2013;83.16
Jun 30, 2013;84.69
Jun 23, 2013;83.38
Jun 16, 2013;82.52
Jun 09, 2013;80.65
Jun 02, 2013;81.66
May 26, 2013;83.40
May 19, 2013;83.76
May 12, 2013;84.39
May 05, 2013;83.23
Apr 28, 2013;82.19
Apr 21, 2013;82.57
Apr 14, 2013;82.85
Apr 07, 2013;82.41
Mar 31, 2013;82.60
Mar 24, 2013;83.17
Mar 17, 2013;82.53
Mar 10, 2013;82.26
Mar 03, 2013;82.73
Feb 24, 2013;82.36
Feb 17, 2013;81.58
Feb 10, 2013;80.58
Feb 03, 2013;80.32
Jan 27, 2013;79.14
Jan 20, 2013;79.82
Jan 13, 2013;80.12
Jan 06, 2013;79.61
Dec 30, 2012;80.61
Dec 23, 2012;79.78
Dec 16, 2012;79.71
Dec 09, 2012;79.56
Dec 02, 2012;80.40
Nov 25, 2012;80.16
Nov 18, 2012;80.24
Nov 11, 2012;81.31
Nov 04, 2012;81.10
Oct 28, 2012;80.68
Oct 21, 2012;80.16
Oct 14, 2012;79.69
Oct 07, 2012;79.74
Sep 30, 2012;79.43
Sep 23, 2012;80.03
Sep 16, 2012;79.40
Sep 09, 2012;78.84
Sep 02, 2012;80.23
Aug 26, 2012;81.22
Aug 19, 2012;81.60
Aug 12, 2012;82.66
Aug 05, 2012;82.63
Jul 29, 2012;82.45
Jul 22, 2012;82.77
Jul 15, 2012;83.57
Jul 08, 2012;83.47
Jul 01, 2012;83.56
Jun 24, 2012;81.75
Jun 17, 2012;82.44
Jun 10, 2012;81.61
Jun 03, 2012;82.56
May 27, 2012;82.97
May 20, 2012;82.52
May 13, 2012;81.42
May 06, 2012;80.40
Apr 29, 2012;79.59
Apr 22, 2012;78.76
Apr 15, 2012;79.31
Apr 08, 2012;80.06
Apr 01, 2012;80.29
Mar 25, 2012;79.14
Mar 18, 2012;79.58
Mar 11, 2012;79.73
Mar 04, 2012;80.08
Feb 26, 2012;79.46
Feb 19, 2012;78.40
Feb 12, 2012;79.46
Feb 05, 2012;79.23
Jan 29, 2012;79.06
Jan 22, 2012;79.01
Jan 15, 2012;80.41
Jan 08, 2012;81.79
Jan 01, 2012;81.60
Dec 25, 2011;80.52
Dec 18, 2011;80.24
Dec 11, 2011;80.25
Dec 04, 2011;78.68
Nov 27, 2011;78.73
Nov 20, 2011;79.83
Nov 13, 2011;78.25
Nov 06, 2011;77.13
Oct 30, 2011;77.16
Oct 23, 2011;75.22
Oct 16, 2011;76.63
Oct 09, 2011;76.91
Oct 02, 2011;79.15
Sep 25, 2011;79.08
Sep 18, 2011;79.23
Sep 11, 2011;76.59
Sep 04, 2011;77.30
Aug 28, 2011;74.84
Aug 21, 2011;73.87
Aug 14, 2011;74.11
Aug 07, 2011;74.74
Jul 31, 2011;74.80
Jul 24, 2011;74.04
Jul 17, 2011;74.41
Jul 10, 2011;75.52
Jul 03, 2011;75.51
Jun 26, 2011;74.67
Jun 19, 2011;76.21
Jun 12, 2011;75.46
Jun 05, 2011;74.80
May 29, 2011;73.81
May 22, 2011;75.02
May 15, 2011;75.58
May 08, 2011;75.94
May 01, 2011;75.08
Apr 24, 2011;73.11
Apr 17, 2011;74.18
Apr 10, 2011;75.03
Apr 03, 2011;75.27
Mar 27, 2011;76.08
Mar 20, 2011;76.48
Mar 13, 2011;75.97
Mar 06, 2011;76.77
Feb 27, 2011;76.42
Feb 20, 2011;77.30
Feb 13, 2011;77.72
Feb 06, 2011;78.56
Jan 30, 2011;78.16
Jan 23, 2011;78.28
Jan 16, 2011;78.37
Jan 09, 2011;79.37
Jan 02, 2011;81.32
Dec 26, 2010;79.29
Dec 19, 2010;80.83
Dec 12, 2010;80.75
Dec 05, 2010;80.07
Nov 28, 2010;79.41
Nov 21, 2010;80.43
Nov 14, 2010;78.59
Nov 07, 2010;78.23
Oct 31, 2010;76.69
Oct 24, 2010;77.46
Oct 17, 2010;77.69
Oct 10, 2010;77.27
Oct 03, 2010;77.56
Sep 26, 2010;78.31
Sep 19, 2010;79.60
Sep 12, 2010;81.64
Sep 05, 2010;82.70
Aug 29, 2010;82.12
Aug 22, 2010;82.97
Aug 15, 2010;83.16
Aug 08, 2010;83.04
Aug 01, 2010;80.50
Jul 25, 2010;81.66
Jul 18, 2010;82.63
Jul 11, 2010;82.66
Jul 04, 2010;84.15
Jun 27, 2010;84.67
Jun 20, 2010;85.58
Jun 13, 2010;85.98
Jun 06, 2010;87.52
May 30, 2010;88.31
May 23, 2010;86.58
May 16, 2010;85.54
May 09, 2010;86.23
May 02, 2010;84.66
Apr 25, 2010;81.99
Apr 18, 2010;81.50
Apr 11, 2010;80.94
Apr 04, 2010;81.24
Mar 28, 2010;81.44
Mar 21, 2010;81.98
Mar 14, 2010;80.97
Mar 07, 2010;79.84
Feb 28, 2010;80.46
Feb 21, 2010;80.44
Feb 14, 2010;80.72
Feb 07, 2010;80.41
Jan 31, 2010;80.59
Jan 24, 2010;79.65
Jan 17, 2010;78.43
Jan 10, 2010;77.48